--------------------------------------------------
[TB] Compare DRAM OFMAP vs GOLDEN
[TB] ofmap_base = 0x00002400, bytes = 16384
--------------------------------------------------
Result | Index | Address    | DUT  | Golden
-------|-------|------------|------|-------
[OK ]  |     0 | 0x00002400 | 0xad | 0xad
[OK ]  |     1 | 0x00002401 | 0x21 | 0x21
[OK ]  |     2 | 0x00002402 | 0x00 | 0x00
[OK ]  |     3 | 0x00002403 | 0x00 | 0x00
[OK ]  |     4 | 0x00002404 | 0x40 | 0x40
[OK ]  |     5 | 0x00002405 | 0x7f | 0x7f
[OK ]  |     6 | 0x00002406 | 0x00 | 0x00
[OK ]  |     7 | 0x00002407 | 0x00 | 0x00
[OK ]  |     8 | 0x00002408 | 0x2d | 0x2d
[OK ]  |     9 | 0x00002409 | 0xff | 0xff
[OK ]  |    10 | 0x0000240a | 0xff | 0xff
[OK ]  |    11 | 0x0000240b | 0xff | 0xff
[OK ]  |    12 | 0x0000240c | 0x39 | 0x39
[OK ]  |    13 | 0x0000240d | 0x6b | 0x6b
[OK ]  |    14 | 0x0000240e | 0x00 | 0x00
[OK ]  |    15 | 0x0000240f | 0x00 | 0x00
[OK ]  |    16 | 0x00002410 | 0x3a | 0x3a
[OK ]  |    17 | 0x00002411 | 0x63 | 0x63
[OK ]  |    18 | 0x00002412 | 0x00 | 0x00
[OK ]  |    19 | 0x00002413 | 0x00 | 0x00
[OK ]  |    20 | 0x00002414 | 0x88 | 0x88
[OK ]  |    21 | 0x00002415 | 0xd8 | 0xd8
[OK ]  |    22 | 0x00002416 | 0xff | 0xff
[OK ]  |    23 | 0x00002417 | 0xff | 0xff
[OK ]  |    24 | 0x00002418 | 0x51 | 0x51
[OK ]  |    25 | 0x00002419 | 0xbc | 0xbc
[OK ]  |    26 | 0x0000241a | 0xff | 0xff
[OK ]  |    27 | 0x0000241b | 0xff | 0xff
[OK ]  |    28 | 0x0000241c | 0x46 | 0x46
[OK ]  |    29 | 0x0000241d | 0x9e | 0x9e
[OK ]  |    30 | 0x0000241e | 0x00 | 0x00
[OK ]  |    31 | 0x0000241f | 0x00 | 0x00
[OK ]  |    32 | 0x00002420 | 0x7b | 0x7b
[OK ]  |    33 | 0x00002421 | 0x94 | 0x94
[OK ]  |    34 | 0x00002422 | 0xff | 0xff
[OK ]  |    35 | 0x00002423 | 0xff | 0xff
[OK ]  |    36 | 0x00002424 | 0x58 | 0x58
[OK ]  |    37 | 0x00002425 | 0xbe | 0xbe
[OK ]  |    38 | 0x00002426 | 0xff | 0xff
[OK ]  |    39 | 0x00002427 | 0xff | 0xff
[OK ]  |    40 | 0x00002428 | 0x0a | 0x0a
[OK ]  |    41 | 0x00002429 | 0xda | 0xda
[OK ]  |    42 | 0x0000242a | 0xff | 0xff
[OK ]  |    43 | 0x0000242b | 0xff | 0xff
[OK ]  |    44 | 0x0000242c | 0xe1 | 0xe1
[OK ]  |    45 | 0x0000242d | 0xa0 | 0xa0
[OK ]  |    46 | 0x0000242e | 0xff | 0xff
[OK ]  |    47 | 0x0000242f | 0xff | 0xff
[OK ]  |    48 | 0x00002430 | 0xef | 0xef
[OK ]  |    49 | 0x00002431 | 0xaf | 0xaf
[OK ]  |    50 | 0x00002432 | 0x00 | 0x00
[OK ]  |    51 | 0x00002433 | 0x00 | 0x00
[OK ]  |    52 | 0x00002434 | 0x93 | 0x93
[OK ]  |    53 | 0x00002435 | 0xdb | 0xdb
[OK ]  |    54 | 0x00002436 | 0xff | 0xff
[OK ]  |    55 | 0x00002437 | 0xff | 0xff
[OK ]  |    56 | 0x00002438 | 0x71 | 0x71
[OK ]  |    57 | 0x00002439 | 0x8b | 0x8b
[OK ]  |    58 | 0x0000243a | 0xff | 0xff
[OK ]  |    59 | 0x0000243b | 0xff | 0xff
[OK ]  |    60 | 0x0000243c | 0xff | 0xff
[OK ]  |    61 | 0x0000243d | 0xc7 | 0xc7
[OK ]  |    62 | 0x0000243e | 0xff | 0xff
[OK ]  |    63 | 0x0000243f | 0xff | 0xff
[OK ]  |    64 | 0x00002440 | 0x9b | 0x9b
[OK ]  |    65 | 0x00002441 | 0x86 | 0x86
[OK ]  |    66 | 0x00002442 | 0xff | 0xff
[OK ]  |    67 | 0x00002443 | 0xff | 0xff
[OK ]  |    68 | 0x00002444 | 0x91 | 0x91
[OK ]  |    69 | 0x00002445 | 0x46 | 0x46
[OK ]  |    70 | 0x00002446 | 0x00 | 0x00
[OK ]  |    71 | 0x00002447 | 0x00 | 0x00
[OK ]  |    72 | 0x00002448 | 0x68 | 0x68
[OK ]  |    73 | 0x00002449 | 0x0d | 0x0d
[OK ]  |    74 | 0x0000244a | 0x01 | 0x01
[OK ]  |    75 | 0x0000244b | 0x00 | 0x00
[OK ]  |    76 | 0x0000244c | 0x05 | 0x05
[OK ]  |    77 | 0x0000244d | 0xc6 | 0xc6
[OK ]  |    78 | 0x0000244e | 0xfe | 0xfe
[OK ]  |    79 | 0x0000244f | 0xff | 0xff
[OK ]  |    80 | 0x00002450 | 0x7e | 0x7e
[OK ]  |    81 | 0x00002451 | 0xcf | 0xcf
[OK ]  |    82 | 0x00002452 | 0xff | 0xff
[OK ]  |    83 | 0x00002453 | 0xff | 0xff
[OK ]  |    84 | 0x00002454 | 0xc4 | 0xc4
[OK ]  |    85 | 0x00002455 | 0x8b | 0x8b
[OK ]  |    86 | 0x00002456 | 0x00 | 0x00
[OK ]  |    87 | 0x00002457 | 0x00 | 0x00
[OK ]  |    88 | 0x00002458 | 0xe8 | 0xe8
[OK ]  |    89 | 0x00002459 | 0x69 | 0x69
[OK ]  |    90 | 0x0000245a | 0x00 | 0x00
[OK ]  |    91 | 0x0000245b | 0x00 | 0x00
[OK ]  |    92 | 0x0000245c | 0xbc | 0xbc
[OK ]  |    93 | 0x0000245d | 0x29 | 0x29
[OK ]  |    94 | 0x0000245e | 0x00 | 0x00
[OK ]  |    95 | 0x0000245f | 0x00 | 0x00
[OK ]  |    96 | 0x00002460 | 0x6d | 0x6d
[OK ]  |    97 | 0x00002461 | 0x79 | 0x79
[OK ]  |    98 | 0x00002462 | 0x00 | 0x00
[OK ]  |    99 | 0x00002463 | 0x00 | 0x00
[OK ]  |   100 | 0x00002464 | 0x09 | 0x09
[OK ]  |   101 | 0x00002465 | 0x42 | 0x42
[OK ]  |   102 | 0x00002466 | 0xff | 0xff
[OK ]  |   103 | 0x00002467 | 0xff | 0xff
[OK ]  |   104 | 0x00002468 | 0x7a | 0x7a
[OK ]  |   105 | 0x00002469 | 0xb5 | 0xb5
[OK ]  |   106 | 0x0000246a | 0x00 | 0x00
[OK ]  |   107 | 0x0000246b | 0x00 | 0x00
[OK ]  |   108 | 0x0000246c | 0x67 | 0x67
[OK ]  |   109 | 0x0000246d | 0x30 | 0x30
[OK ]  |   110 | 0x0000246e | 0x00 | 0x00
[OK ]  |   111 | 0x0000246f | 0x00 | 0x00
[OK ]  |   112 | 0x00002470 | 0xb7 | 0xb7
[OK ]  |   113 | 0x00002471 | 0x9d | 0x9d
[OK ]  |   114 | 0x00002472 | 0xff | 0xff
[OK ]  |   115 | 0x00002473 | 0xff | 0xff
[OK ]  |   116 | 0x00002474 | 0x3d | 0x3d
[OK ]  |   117 | 0x00002475 | 0x7c | 0x7c
[OK ]  |   118 | 0x00002476 | 0xff | 0xff
[OK ]  |   119 | 0x00002477 | 0xff | 0xff
[OK ]  |   120 | 0x00002478 | 0x09 | 0x09
[OK ]  |   121 | 0x00002479 | 0x5b | 0x5b
[OK ]  |   122 | 0x0000247a | 0xff | 0xff
[OK ]  |   123 | 0x0000247b | 0xff | 0xff
[OK ]  |   124 | 0x0000247c | 0x6f | 0x6f
[OK ]  |   125 | 0x0000247d | 0x1a | 0x1a
[OK ]  |   126 | 0x0000247e | 0xff | 0xff
[OK ]  |   127 | 0x0000247f | 0xff | 0xff
[OK ]  |   128 | 0x00002480 | 0x25 | 0x25
[OK ]  |   129 | 0x00002481 | 0xed | 0xed
[OK ]  |   130 | 0x00002482 | 0xfe | 0xfe
[OK ]  |   131 | 0x00002483 | 0xff | 0xff
[OK ]  |   132 | 0x00002484 | 0x8d | 0x8d
[OK ]  |   133 | 0x00002485 | 0xbf | 0xbf
[OK ]  |   134 | 0x00002486 | 0xff | 0xff
[OK ]  |   135 | 0x00002487 | 0xff | 0xff
