layer,glb_usage,glb_read,glb_write,glb_access,dram_read,dram_write,dram_access,macs,intensity,peak_performance,peak_bandwidth,latency,energy_total,power_total,tk,tn,mode,M,K,N
linear_WS,19528,9133568,466944,9600512,8437824,1024,8438848,2097152,0.248512,48,4,0.0767441,1787.97,23297.8,6,8,1,1,64,6
linear_OS,56536,9131520,466944,9598464,8437824,1024,8438848,2097152,0.248512,48,4,0.076739,1787.95,23299.1,6,8,1,1,64,18
linear_WS,56536,9131520,466944,9598464,8437824,1024,8438848,2097152,0.248512,48,4,0.076739,1787.95,23299.1,6,8,1,1,64,18
