--------------------------------------------------
[TB] Compare DRAM OFMAP vs GOLDEN
[TB] ofmap_base = 0x00004800, bytes = 16384
--------------------------------------------------
Result | Index | Address    | DUT  | Golden
-------|-------|------------|------|-------
[OK ]  |     0 | 0x00004800 | 0x31 | 0x31
[OK ]  |     1 | 0x00004801 | 0x8b | 0x8b
[OK ]  |     2 | 0x00004802 | 0xff | 0xff
[OK ]  |     3 | 0x00004803 | 0xff | 0xff
[OK ]  |     4 | 0x00004804 | 0x9c | 0x9c
[OK ]  |     5 | 0x00004805 | 0x91 | 0x91
[OK ]  |     6 | 0x00004806 | 0x00 | 0x00
[OK ]  |     7 | 0x00004807 | 0x00 | 0x00
[OK ]  |     8 | 0x00004808 | 0x8f | 0x8f
[OK ]  |     9 | 0x00004809 | 0xfd | 0xfd
[OK ]  |    10 | 0x0000480a | 0xff | 0xff
[OK ]  |    11 | 0x0000480b | 0xff | 0xff
[OK ]  |    12 | 0x0000480c | 0xdd | 0xdd
[OK ]  |    13 | 0x0000480d | 0xe4 | 0xe4
[OK ]  |    14 | 0x0000480e | 0x00 | 0x00
[OK ]  |    15 | 0x0000480f | 0x00 | 0x00
[OK ]  |    16 | 0x00004810 | 0x9b | 0x9b
[OK ]  |    17 | 0x00004811 | 0xb0 | 0xb0
[OK ]  |    18 | 0x00004812 | 0xff | 0xff
[OK ]  |    19 | 0x00004813 | 0xff | 0xff
[OK ]  |    20 | 0x00004814 | 0x81 | 0x81
[OK ]  |    21 | 0x00004815 | 0xc7 | 0xc7
[OK ]  |    22 | 0x00004816 | 0x00 | 0x00
[OK ]  |    23 | 0x00004817 | 0x00 | 0x00
[OK ]  |    24 | 0x00004818 | 0x2f | 0x2f
[OK ]  |    25 | 0x00004819 | 0xc8 | 0xc8
[OK ]  |    26 | 0x0000481a | 0xff | 0xff
[OK ]  |    27 | 0x0000481b | 0xff | 0xff
[OK ]  |    28 | 0x0000481c | 0xfe | 0xfe
[OK ]  |    29 | 0x0000481d | 0x5e | 0x5e
[OK ]  |    30 | 0x0000481e | 0x00 | 0x00
[OK ]  |    31 | 0x0000481f | 0x00 | 0x00
[OK ]  |    32 | 0x00004820 | 0xf9 | 0xf9
[OK ]  |    33 | 0x00004821 | 0x8e | 0x8e
[OK ]  |    34 | 0x00004822 | 0xff | 0xff
[OK ]  |    35 | 0x00004823 | 0xff | 0xff
[OK ]  |    36 | 0x00004824 | 0x6a | 0x6a
[OK ]  |    37 | 0x00004825 | 0x9b | 0x9b
